title,year,genre,rating
Toy Story,1995,Adventure,3.9209302325581397
Jumanji,1995,Adventure,3.4318181818181817
Grumpier Old Men,1995,Comedy,3.2596153846153846
Waiting to Exhale,1995,Comedy,2.357142857142857
Father of the Bride Part II,1995,Comedy,3.0714285714285716
Heat,1995,Action,3.946078431372549
Sabrina,1995,Comedy,3.185185185185185
Tom and Huck,1995,Adventure,2.875
Sudden Death,1995,Action,3.125
GoldenEye,1995,Action,3.496212121212121
"American President, The",1995,Comedy,3.6714285714285713
Dracula: Dead and Loving It,1995,Comedy,2.4210526315789473
Balto,1995,Adventure,3.125
Nixon,1995,Drama,3.8333333333333335
Cutthroat Island,1995,Action,3.0
Casino,1995,Crime,3.926829268292683
Sense and Sensibility,1995,Drama,3.7761194029850746
Four Rooms,1995,Comedy,3.7
Ace Ventura: When Nature Calls,1995,Comedy,2.727272727272727
Money Train,1995,Action,2.5
Get Shorty,1995,Comedy,3.49438202247191
Copycat,1995,Crime,3.2222222222222223
Assassins,1995,Action,3.125
Powder,1995,Drama,3.125
Leaving Las Vegas,1995,Drama,3.625
Othello,1995,Drama,3.5
Now and Then,1995,Children,3.3333333333333335
Persuasion,1995,Drama,4.2272727272727275
"City of Lost Children, The (Cité des enfants perdus, La)",1995,Adventure,4.0131578947368425
Shanghai Triad (Yao a yao yao dao waipo qiao),1995,Crime,3.0
Dangerous Minds,1995,Drama,3.1842105263157894
Twelve Monkeys (a.k.a. 12 Monkeys),1995,Mystery,3.983050847457627
Babe,1995,Children,3.65234375
Dead Man Walking,1995,Crime,3.8358208955223883
It Takes Two,1995,Children,2.125
Clueless,1995,Comedy,3.293269230769231
"Cry, the Beloved Country",1995,Drama,4.25
Richard III,1995,Drama,3.7
Dead Presidents,1995,Action,3.0
Restoration,1995,Drama,3.1875
Mortal Kombat,1995,Action,2.5434782608695654
To Die For,1995,Comedy,3.3125
How to Make an American Quilt,1995,Drama,3.066666666666667
Seven (a.k.a. Se7en),1995,Mystery,3.9753694581280787
Pocahontas,1995,Animation,3.1470588235294117
When Night Is Falling,1995,Drama,3.0
"Usual Suspects, The",1995,Crime,4.237745098039215
Mighty Aphrodite,1995,Comedy,3.4642857142857144
Lamerica,1994,Adventure,5.0
"Big Green, The",1995,Children,2.3333333333333335
Georgia,1995,Drama,4.0
Home for the Holidays,1995,Drama,3.0625
"Postman, The (Postino, Il)",1994,Comedy,4.027027027027027
"Indian in the Cupboard, The",1995,Adventure,3.235294117647059
Eye for an Eye,1996,Drama,3.75
Mr. Holland's Opus,1995,Drama,3.70625
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,Comedy,2.7142857142857144
Two if by Sea,1996,Comedy,2.2
Bio-Dome,1996,Comedy,2.532258064516129
Lawnmower Man 2: Beyond Cyberspace,1996,Action,2.5
French Twist (Gazon maudit),1995,Comedy,3.4
Friday,1995,Comedy,3.775
From Dusk Till Dawn,1996,Action,3.5090909090909093
Fair Game,1995,Action,1.7
Kicking and Screaming,1995,Comedy,3.2142857142857144
"Misérables, Les",1995,Drama,3.4615384615384617
Bed of Roses,1996,Drama,4.0
Big Bully,1996,Comedy,2.2
Screamers,1995,Action,3.4
Nico Icon,1995,Documentary,4.0
"Crossing Guard, The",1995,Action,3.3333333333333335
"Juror, The",1996,Drama,2.764705882352941
