Track title,Genre,Mood,Artist,Duration,type,Added
High Noon,R&B and Soul,Funky,TrackTribe,3:49,,
Drop the Tapes,Pop,Funky,TrackTribe,3:50,,
Lawrence,Hip Hop and Rap,Bright,TrackTribe,3:54,,
I Had a Feeling,Dance and Electronic,Funky,TrackTribe,5:28,,
Dream It,Rock,Dark,TrackTribe,5:04,,
Body of Water,Cinematic,Dramatic,TrackTribe,4:54,,
Underground Academy,Hip Hop and Rap,Dark,Hanu Dixit,2:01,,
Dreams Of River Ganga,Ambient,Bright,Hanu Dixit,2:22,,
Gully Dreams,Hip Hop and Rap,Dark,Hanu Dixit,1:52,,
Raga Legacy,Classical,Happy,Hanu Dixit,2:20,,
The Mumbai Beat,Cinematic,Dramatic,Hanu Dixit,1:56,,
Indian Cinemascope,Cinematic,Dramatic,Hanu Dixit,1:52,,
Dance Of The Gypsies,Dance and Electronic,Bright,Hanu Dixit,2:10,,
A Sitar Story,Dance and Electronic,Funky,Hanu Dixit,2:00,,
Raag Bageshree,Classical,Bright,"Sandeep Das, Adhiraj Chaudhuri, Bivakar Chaudhuri",2:02,,
Raag Pahadi,Classical,Happy,"Sandeep Das, Mayank Raina, Bivakar Chaudhuri",2:56,,
Thumri,Classical,Bright,"Sandeep Das, Anisha Roy, Bivakar Chaudhuri",2:28,,
Aalaap in Raag Jhinjhoti,Classical,Bright,"Sandeep Das, Adhiraj Chaudhuri",2:58,,
Crash & Burn,Dance and Electronic,Funky,Aakash Gandhi,2:05,,
